datetime,open,high,low,close,volume
1990/11/2,107.25,108.625,107.25,17.667842,7161200
1990/11/5,107.375,108.125,106.5,17.784896,4834800
1990/11/6,107.875,109,107.625,17.784896,6374000
1990/11/7,108,108.25,106.25,17.558205,5603200
1990/11/8,106.5,107.625,106.25,17.723071,6476800
1990/11/9,108.5,110.25,107.875,18.176452,9096800
1990/11/12,110.875,113.25,110.75,18.629833,14173200
1990/11/13,113,113.5,112,18.464967,8526000
1990/11/14,112.5,114,112.5,18.712266,7875600
1990/11/15,113.25,113.625,112.5,18.568008,6158800
1990/11/16,113,114.125,112,18.732874,9078800
1990/11/19,114.125,114.875,114,18.918348,7443200
1990/11/20,114.75,115.125,113.25,18.691657,8001200
1990/11/21,113.25,114.125,112.375,18.815307,5251600
1990/11/23,113.875,114.25,112.625,18.568008,1862000
1990/11/26,112,114.25,111.625,18.77409,4661600
1990/11/27,113.875,114.125,112.625,18.712266,6126000
1990/11/28,113,113.875,112.375,18.526792,5276800
1990/11/29,112.5,112.875,111.625,18.464967,4782800
1990/11/30,111.625,114.5,111.25,18.732874,7217600
1990/12/3,114.5,114.5,113,18.691657,6280800
1990/12/4,113.375,115,113,18.918348,5831600
1990/12/5,114.125,114.875,113.75,18.89774,5938000
1990/12/6,115.875,116,111.25,18.382534,13558400
1990/12/7,111.5,112.875,110.75,18.5474,7637600
1990/12/10,112.25,113.75,112.125,18.691657,4695200
1990/12/11,113,113.125,112.375,18.609225,3991600
1990/12/12,112.875,114.5,112.625,18.856523,5887600
1990/12/13,114.375,114.625,112.875,18.609225,4372400
1990/12/14,112,112.5,111,18.341318,5740800
1990/12/17,110.875,111.75,110.625,18.382534,3819600
1990/12/18,111.5,113.5,111.5,18.712266,6467200
1990/12/19,113,114,112.125,18.588616,9855600
1990/12/20,112.25,114.625,112.25,18.753482,7584000
1990/12/21,114,114.375,113.375,18.77409,8338400
1990/12/24,113.875,114.25,113.75,18.77409,1365200
1990/12/26,114,114.25,113.5,18.712266,1587200
1990/12/27,113.25,113.875,113,18.732874,2856400
1990/12/28,113.625,113.875,113.25,18.691657,2912800
1990/12/31,113.375,113.5,112.875,18.629833,1845200
1991/1/2,112.875,113.75,112.125,18.485575,4150800
1991/1/3,112.375,113.875,112.25,18.5474,5229600
1991/1/4,112.75,113,111.875,18.485575,4340400
1991/1/7,111.375,111.875,110,18.176452,4757600
1991/1/8,110.375,110.375,108.75,17.97037,6862000
1991/1/9,109.75,110.75,106.75,17.62003,8312000
1991/1/10,107.625,108.375,107.25,17.867329,3848000
1991/1/11,107.875,108.25,107.75,17.826112,2434800
1991/1/14,106.875,107.125,105.5,17.599422,6986000
1991/1/15,106.875,107.75,106.75,17.723071,4672400
1991/1/16,107.25,109.25,106.625,17.990978,6324000
1991/1/17,115,116.125,114.25,19.083214,17321600
1991/1/18,115.25,118.25,114.875,19.392337,18370000
1991/1/21,116.75,120.125,116.625,19.722069,8806000
1991/1/22,119.375,119.625,117.75,19.454162,7854800
1991/1/23,117.875,120.125,117.875,19.660244,8844000
1991/1/24,120,121.625,119.875,19.948759,11364800
1991/1/25,121.125,122.625,120.5,20.216666,9764400
1991/1/28,122.5,125,122.375,20.484573,9913200
1991/1/29,124.125,125.375,123,20.525789,7796800
1991/1/30,124.75,127,124.625,20.937954,10097200
1991/1/31,126.625,127.125,126.25,20.896737,6873200
1991/2/1,126.5,127.625,125.625,20.917345,7676400
1991/2/4,126.25,127.625,125.625,21.201982,6212400
1991/2/5,127.25,128.5,127,21.389242,8708400
1991/2/6,128.125,130,128,21.618115,9678400
1991/2/7,130,131,128.375,21.389242,10128000
1991/2/8,128.875,129.875,128.25,21.555695,7006800
1991/2/11,129.875,132.5,129.625,22.034248,7461200
1991/2/12,131.5,133.875,131.5,22.096668,9489600
1991/2/13,132.375,135,132.25,22.408768,7695200
1991/2/14,134.875,136.25,133.875,22.471188,9941600
1991/2/15,135.5,137.875,135.375,22.866514,10955600
1991/2/19,137.25,139.75,137,23.220227,9112400
1991/2/20,138.25,138.75,137.875,22.949741,7416800
1991/2/21,138,138.25,135.5,22.554414,6262000
1991/2/22,135.625,137,132.625,22.179895,9536400
1991/2/25,134.25,135.125,132.125,22.242315,7578800
1991/2/26,132.75,133,129.75,21.597308,8908400
1991/2/27,130,130.875,128.125,21.784568,8164800
1991/2/28,131.25,131.5,127.5,21.430855,8634000
