datetime,open,high,low,close,volume
1991/2/14,59.999998,59.999998,56.749997,1.804476,94418800
1991/2/15,57.250002,58.499997,57.250002,1.824106,91403200
1991/2/19,57.500001,60.249997,57.374998,1.899286,56562800
1991/2/20,59.5,61.749998,59.250001,1.930941,53410000
1991/2/21,61.25,62.250003,58.750003,1.867631,47717600
1991/2/22,59.000002,61.749998,58.499997,1.891372,58142000
1991/2/25,60.249997,60.500003,57.500001,1.835976,89818400
1991/2/26,57.500001,58.750003,56.499998,1.84389,62504400
1991/2/27,58.249998,58.499997,57.500001,1.84389,43593200
1991/2/28,58.249998,58.499997,56.249999,1.812235,56840000
1991/3/1,57.000003,59.000002,57.000003,1.828063,31533600
1991/3/4,57.999999,58.750003,57.000003,1.847847,22089200
1991/3/5,59.000002,63.249999,59.000002,1.998207,110362000
1991/3/6,64.000003,65.625,62.874997,1.99425,130989600
1991/3/7,63.499998,67.500003,63.249999,2.128783,80438400
1991/3/8,67.750002,68.25,64.999999,2.05756,80550400
1991/3/11,64.500001,64.75,62.250003,2.010077,43842400
1991/3/12,63,63.749997,62.500002,1.990293,58419200
1991/3/13,62.750001,66.5,62.750001,2.097128,43638000
1991/3/14,66.749999,67.500003,64.500001,2.065473,56767200
1991/3/15,65.750003,66.5,65.249998,2.097128,51209200
1991/3/18,65.750003,68.25,65.750003,2.14461,53502400
1991/3/19,66.5,70.249999,65.750003,2.200006,105548800
1991/3/20,69.250003,69.500002,66.875002,2.14461,90426000
1991/3/21,68.25,68.749998,63.749997,2.049646,74200000
1991/3/22,64.000003,64.75,62.250003,2.002164,84532000
1991/3/25,63.499998,64.999999,63.249999,2.041732,33964000
1991/3/26,64.75,70.249999,64.75,2.215834,83406400
1991/3/27,70,70.249999,68.499999,2.192093,47555200
1991/3/28,69.250003,70,67.750002,2.152524,19675600
1991/4/1,68.000001,69.500002,67.500003,2.168351,29481200
1991/4/2,68.999997,72.750003,68.499999,2.302884,73231200
1991/4/3,72.499997,72.750003,70,2.215834,60032000
1991/4/4,70,71.999999,69.500002,2.263316,42109200
1991/4/5,71.75,71.75,68.749998,2.196049,38852800
1991/4/8,69.250003,70,68.749998,2.215834,18118800
1991/4/9,69.750001,70,68.25,2.176265,29862000
1991/4/10,68.499999,69.250003,66.749999,2.116912,54101600
1991/4/11,67.750002,71.374998,67.500003,2.247488,88897200
1991/4/12,71.500001,73.250001,69.750001,2.271229,91929600
1991/4/15,61.749998,64.500001,59.999998,1.970509,425096000
