datetime,open,high,low,close,volume,adj_price
1990/7/13,120.625,122.125,120.25,121,8621600,19.505285
1990/7/16,122,123.125,121.25,122.375,8924400,19.726936
1990/7/17,122.5,122.5,119.875,120.75,6742800,19.464985
1990/7/18,120.875,121.625,119.875,119.875,6736400,19.323934
1990/7/19,119.625,120.125,118.75,120,5743200,19.344084
1990/7/20,120.125,120.25,117.5,117.625,7034400,18.961233
1990/7/23,117.75,117.75,114.125,115.875,8573200,18.679131
1990/7/24,115.875,116,113.625,114.75,6158000,18.497781
1990/7/25,114.5,115.5,114.25,114.75,5458800,18.497781
1990/7/26,114.625,114.625,112.25,113.125,5483600,18.235829
1990/7/27,112.75,112.75,110.625,111.375,7385200,17.953728
1990/7/30,110.75,112.375,110.5,112.125,5922800,18.074629
1990/7/31,112.375,112.875,110.625,111.5,5477200,17.973878
1990/8/1,111.875,112.375,110.625,111.625,6841200,17.994028
1990/8/2,109,110.75,109,109.75,7474800,17.691777
1990/8/3,109.25,109.5,103.75,108.125,14196800,17.429826
1990/8/6,103.875,104.375,102.5,103.875,9140000,16.934229
1990/8/7,104.625,105,102.5,103,8947200,16.791582
1990/8/8,103,103.875,102.875,103.125,7539200,16.81196
1990/8/9,103.5,103.875,103,103.25,5054800,16.832338
1990/8/10,103.25,103.625,101.5,102,5794000,16.628557
1990/8/13,101.5,104,101,103.75,6331200,16.913851
1990/8/14,103.625,105.125,103.125,104.375,6623600,17.015741
1990/8/15,105.125,105.25,104.5,105,6059600,17.117632
1990/8/16,104.25,105.75,103.75,103.75,8125600,16.913851
1990/8/17,103,103.375,100.75,101.375,10562400,16.526666
1990/8/20,102,102.75,101.875,102.25,4955200,16.669313
1990/8/21,100.625,101.75,99.75,100.5,9559600,16.384019
1990/8/22,100.75,101,98.875,99,7892000,16.139482
1990/8/23,96.75,98.375,96.5,96.875,9709600,15.793053
1990/8/24,98.5,101,97.875,100.375,8158400,16.363641
1990/8/27,103,104.375,102.75,104.375,6300400,17.015741
1990/8/28,103.875,104.125,103.375,103.625,3872400,16.893472
1990/8/29,103.5,104.375,102.75,103.875,4578800,16.934229
1990/8/30,103.875,104.125,101.375,101.75,4320400,16.5878
1990/8/31,101.625,101.875,100.375,101.875,3541600,16.608179
1990/9/4,101,102.625,100.75,102.5,4802000,16.710069
1990/9/5,102.875,103.875,102.25,102.5,5810400,16.710069
1990/9/6,102.875,103.5,101.5,102.375,5388000,16.689691
1990/9/7,101.875,105.5,101.875,105.5,6538800,17.199144
1990/9/10,106.5,107.625,105.5,105.875,6437600,17.260279
1990/9/11,106.375,107.75,105.875,107.5,5752800,17.525195
1990/9/12,108.375,108.375,107.125,107.875,4771600,17.586329
1990/9/13,107.75,107.75,104.75,105,4308000,17.117632
1990/9/14,104.875,105,103.625,104.375,5390400,17.015741
1990/9/17,104.25,105.75,104.125,105.125,3579600,17.13801
1990/9/18,105.25,107.625,105.125,107.25,6796800,17.484438
1990/9/19,107.875,109.25,107.5,108.375,8756400,17.667842
1990/9/20,108.125,109,106.625,107.875,4854000,17.586329
1990/9/21,107.625,107.875,105.5,106.75,8846000,17.402926
1990/9/24,106.25,106.25,104.5,105,7974800,17.117632
1990/9/25,105.25,106.5,104.875,106.375,6181200,17.341791
1990/9/26,106.5,106.75,104.25,105.375,6977600,17.178766
1990/9/27,105.75,106.625,102.875,104.375,6756400,17.015741
1990/9/28,103.125,107.125,102.875,106.375,7900400,17.341791
1990/10/1,107.125,109.5,107.125,109,7405200,17.769732
1990/10/2,109.5,110.375,108.25,108.25,7572400,17.647463
1990/10/3,108.25,109,107.125,107.375,4406800,17.504816
1990/10/4,107.375,108.25,106.375,107.875,4648000,17.586329
1990/10/5,106.5,109,106,108.25,6280000,17.647463
1990/10/8,108.75,109.5,108.625,109.5,3605200,17.851245
1990/10/9,108.375,108.625,105.375,105.375,5674400,17.178766
1990/10/10,105.625,106.625,102.875,103.5,9034400,16.873094
1990/10/11,103.75,103.875,99.75,101,12455200,16.465532
1990/10/12,101.75,102,99.5,100.25,9232400,16.343263
1990/10/15,100.625,100.875,96.25,99.25,12485600,16.180238
1990/10/16,99.375,100.375,98.25,99.375,6760800,16.200616
1990/10/17,99.5,101.625,99.375,100.75,5321200,16.424775
1990/10/18,102,105.375,101.75,105.375,7466000,17.178766
1990/10/19,105.25,109,104.625,107.625,10602400,17.545573
1990/10/22,107.625,108.75,106.5,107.75,7673200,17.565951
1990/10/23,107.375,108.25,106.625,106.75,5082800,17.402926
1990/10/24,106.75,109,106.75,108.625,6477600,17.708598
1990/10/25,109,109.25,106.625,108.125,6368000,17.627085
1990/10/26,107.375,107.5,106.5,106.875,4984400,17.423304
1990/10/29,106.5,107.875,105.125,106,5254400,17.280657
1990/10/30,106.125,106.875,104.875,106.375,6556000,17.341791
1990/10/31,106.5,106.625,104.75,105.5,5810000,17.199144
1990/11/1,105.375,107.375,104.875,107.25,4935600,17.484438
1990/11/2,107.25,108.625,107.25,108.375,7161200,17.667842
1990/11/5,107.375,108.125,106.5,107.875,4834800,17.784896
1990/11/6,107.875,109,107.625,107.875,6374000,17.784896
1990/11/7,108,108.25,106.25,106.5,5603200,17.558205
1990/11/8,106.5,107.625,106.25,107.5,6476800,17.723071
1990/11/9,108.5,110.25,107.875,110.25,9096800,18.176452
1990/11/12,110.875,113.25,110.75,113,14173200,18.629833
1990/11/13,113,113.5,112,112,8526000,18.464967
1990/11/14,112.5,114,112.5,113.5,7875600,18.712266
1990/11/15,113.25,113.625,112.5,112.625,6158800,18.568008
1990/11/16,113,114.125,112,113.625,9078800,18.732874
1990/11/19,114.125,114.875,114,114.75,7443200,18.918348
1990/11/20,114.75,115.125,113.25,113.375,8001200,18.691657
1990/11/21,113.25,114.125,112.375,114.125,5251600,18.815307
1990/11/23,113.875,114.25,112.625,112.625,1862000,18.568008
1990/11/26,112,114.25,111.625,113.875,4661600,18.77409
1990/11/27,113.875,114.125,112.625,113.5,6126000,18.712266
1990/11/28,113,113.875,112.375,112.375,5276800,18.526792
1990/11/29,112.5,112.875,111.625,112,4782800,18.464967
1990/11/30,111.625,114.5,111.25,113.625,7217600,18.732874
1990/12/3,114.5,114.5,113,113.375,6280800,18.691657
1990/12/4,113.375,115,113,114.75,5831600,18.918348
1990/12/5,114.125,114.875,113.75,114.625,5938000,18.89774
1990/12/6,115.875,116,111.25,111.5,13558400,18.382534
1990/12/7,111.5,112.875,110.75,112.5,7637600,18.5474
1990/12/10,112.25,113.75,112.125,113.375,4695200,18.691657
1990/12/11,113,113.125,112.375,112.875,3991600,18.609225
1990/12/12,112.875,114.5,112.625,114.375,5887600,18.856523
1990/12/13,114.375,114.625,112.875,112.875,4372400,18.609225
1990/12/14,112,112.5,111,111.25,5740800,18.341318
1990/12/17,110.875,111.75,110.625,111.5,3819600,18.382534
1990/12/18,111.5,113.5,111.5,113.5,6467200,18.712266
1990/12/19,113,114,112.125,112.75,9855600,18.588616
1990/12/20,112.25,114.625,112.25,113.75,7584000,18.753482
1990/12/21,114,114.375,113.375,113.875,8338400,18.77409
1990/12/24,113.875,114.25,113.75,113.875,1365200,18.77409
